Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM,aqiusHigh,aqiusLow
2020-01-23,1.4,-3.09768402294,-4.8,-0.367096442473,-6.14537838501,-8.84303650904,88.0,79.5206209806,69.0,747.736488792,738.285711624,5.50002734483,2.94595192865,11.3000561812,0.0,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-24,1.3,-1.17904288703,-4.5,1.16023423357,-5.05956737302,-38.3711027115,99.0,71.9705856643,0.0,747.43646412,737.010606768,3.60001789844,1.87331900174,8.30004126584,3.556,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-25,2.1,0.374240640097,-1.3,1.36000028661,-2.55943143908,-42.4417403952,99.0,73.5361586102,0.0,740.31087816,734.535403224,5.00002485894,2.26401199896,13.3000661248,0.508,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-26,-1.3,-1.75585358796,-2.8,-3.12610071605,-5.57628043673,-20.8114413905,88.0,11.8472397292,0.0,746.911420944,740.31087816,4.10002038433,2.19653140408,9.50004723199,0.508,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-27,1.3,-0.87984375,-4.8,-3.51602936043,-6.93431382281,-59.1034259983,83.0,43.6881944444,0.0,751.111766352,741.961013856,3.3000164069,1.77910028045,8.80004375174,1.016,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-28,-3.5,-4.77021122685,-6.0,-4.48160395202,-5.85522102379,-7.77623141293,96.0,92.1395047604,79.0,750.586723176,746.011346928,3.40001690408,1.69087566314,7.1000352997,0.0,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-29,1.3,-0.593722511574,-3.8,-0.837437050341,-2.37539499035,-4.48160395202,99.0,54.2148292824,0.0,746.086353096,743.986180392,3.3000164069,1.28186946009,6.6000328138,1.524,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-30,1.3,0.611944444444,-1.6,1.16023423357,-4.12362677598,-32.3379626025,99.0,57.70390625,0.0,744.06118656,738.135699288,2.60001292665,1.46192856466,7.1000352997,0.254,$day.aqius.max.raw,$day.aqius.min.raw
2020-01-31,1.3,-0.775789473684,-1.6,1.16023423357,-2.47622503801,-32.3379626025,99.0,77.7951754386,0.0,740.760915168,737.760668448,1.10000546897,0.133955344357,3.10001541254,1.016,$day.aqius.max.raw,$day.aqius.min.raw

    

