Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC
                
2020-02-03 00:00:00,,,726.80976792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:05:00,,,726.80976792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:10:00,,,726.80976792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:15:00,,,726.80976792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:20:00,,,726.80976792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:25:00,,,726.742624295,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:30:00,,,726.734761752,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:35:00,,,726.734761752,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:40:00,,,726.667659728,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:45:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:50:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 00:55:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:00:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:05:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:10:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:15:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:20:00,,,726.659755584,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:25:00,,,726.525551536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:30:00,,,726.509743248,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:35:00,,,726.509743248,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:40:00,,,726.442641224,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:45:00,,,726.43473708,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:50:00,,,726.43473708,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 01:55:00,,,726.300533032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:00:00,,,726.284724744,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:05:00,,,726.284724744,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:10:00,,,726.217585483,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:15:00,,,726.209718576,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:20:00,,,726.209718576,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:25:00,,,726.142574951,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:30:00,,,726.134712408,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:35:00,,,726.134712408,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:40:00,,,726.134712408,  ,  ,,,,,  ,  ,0.0,  ,  
2020-02-03 02:45:00,,,726.134712408,  ,  ,,,,,  ,  ,0.0,  ,  
