Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC
                
2019-01-31 00:00:00,-1.9,-2.31183713132,998.8,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:05:00,-1.9,-2.31183713132,998.8,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:10:00,-1.9,-2.31183713132,998.863413413,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:15:00,-1.9,-2.31183713132,998.9,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:20:00,-1.9,-2.31183713132,998.9,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:25:00,-1.92708333333,-2.33882594774,998.836530815,  ,  ,0.0,1.30000646332,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:30:00,-1.98666666667,-2.39820138199,998.8,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:35:00,-2.00333333333,-2.41480990445,998.8,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:40:00,-2.05375,-2.46505070985,998.736580517,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:45:00,-2.09333333333,-2.50449599657,998.7,  ,  ,0.0,1.10000546897,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:50:00,-2.09666666667,-2.50781770599,998.7,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 00:55:00,-2.1,-2.51113941556,998.7,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:00:00,-2.1,-2.51113941556,998.7,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:05:00,-2.1,-2.51113941556,998.7,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:10:00,-2.1,-2.51113941556,998.636580517,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:15:00,-2.1,-2.51113941556,998.6,  ,  ,0.0,0.900004474609,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:20:00,-2.1,-2.51113941556,998.6,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:25:00,-2.11041666667,-2.52151975905,998.536604907,  ,  ,0.0,1.10000546897,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:30:00,-2.19666666667,-2.60746906462,998.5,  ,  ,0.0,1.10000546897,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:35:00,-2.2,-2.61079077912,998.5,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:40:00,-2.2,-2.61079077912,998.37312469,  ,  ,0.0,1.10000546897,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:45:00,-2.2,-2.61079077912,998.3,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:50:00,-2.2,-2.61079077912,998.3,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 01:55:00,-2.2,-2.61079077912,998.426838966,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:00:00,-2.2,-2.61079077912,998.5,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:05:00,-2.22041666667,-2.63113628399,998.5,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:10:00,-2.22291666667,-2.63362757072,998.37312469,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:15:00,-2.28375,-2.69424890968,998.3,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:20:00,-2.3,-2.7104422903,998.3,  ,  ,0.0,0.600002983073,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:25:00,-2.3,-2.7104422903,998.363469185,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:30:00,-2.3,-2.7104422903,998.4,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
2019-01-31 02:35:00,-2.3,-2.7104422903,998.4,  ,  ,0.0,0.0,97.0,0.0,  ,  ,0.0,  ,  
